Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,Access & Affordability,Community Rights & Relations,Customer Welfare,Data Security & Customer Privacy,Ethics & Compliance,Labor & Employment Practices,Marketing & Labeling,Occupational Health & Safety Management,Operational Risk Management,Product Quality Management,Social Supply Chain Management,Board Composition,Executive Compensation,Shareholder Rights,Audit,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,GLOBAL SCORE
Semiconductors,Social,CNE100005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20852381592000002,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386557144776,0.0,3.362444272276
Semiconductors,Governance,CNE100005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5585716628,0.47796412464,1.70085262296,0.94474472048,0.0,0.0,1.404639939264,3.362444272276
Semiconductors,Environmental,US72581M3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8839072017759997
Semiconductors,Social,US72581M3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,2.8839072017759997
Semiconductors,Governance,US72581M3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75585878368,1.8294900513599999,1.8286592102399999,1.54901596064,0.0,0.0,2.3889072017759996,2.8839072017759997
Semiconductors,Environmental,US7392761034,0.0,0.0,0.0,1.8637334346,0.0,0.0,0.0,0.24,0.0,1.4388301848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4170254477600002,0.0,0.0,4.006295828363999
Semiconductors,Social,US7392761034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.20852381592000002,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47655714477600003,0.0,4.006295828363999
Semiconductors,Governance,US7392761034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63005434036,1.53893783568,1.71881275176,1.15457252496,0.0,0.0,2.1127132358279996,4.006295828363999
Semiconductors,Environmental,TW0006770001,0.0,0.0,0.0,0.6370523931,0.0,0.34970220805,0.0,0.0,0.74376183992,1.9243941305999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.461964228668,0.0,0.0,5.108413311012
Semiconductors,Social,TW0006770001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.9,1.17457626336,0.0,3.5999999999999996,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,2.326372879008,0.0,5.108413311012
Semiconductors,Governance,TW0006770001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9748446177599999,0.9009000777599999,1.77066364296,0.75384567264,0.0,0.0,1.3200762033359998,5.108413311012
Semiconductors,Environmental,TW0006239007,0.0,0.0,0.0,0.7439744712,0.0,0.94281942846,0.0,0.0,0.5314130258800001,1.5251090526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4973263912560002,0.0,0.0,4.638989350408
Semiconductors,Social,TW0006239007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.9,0.0,0.0,2.6612501907599997,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.692375057228,0.0,4.638989350408
Semiconductors,Governance,TW0006239007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8155193425199999,1.32787330632,1.77066364296,0.9169033812799999,0.0,0.0,1.449287901924,4.638989350408
Semiconductors,Environmental,TW0006173008,0.0,0.0,0.0,0.5814241646999999,0.0,0.23467923635000001,0.0,0.0,0.21363659141,1.3346084118000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9457393617040002,0.0,0.0,4.125875294608
Semiconductors,Social,TW0006173008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.9,0.0,0.0,2.7685241316,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.72455723948,0.0,4.125875294608
Semiconductors,Governance,TW0006173008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5117568969599999,1.3460289002399999,1.77066364296,1.22347953792,0.0,0.0,1.455578693424,4.125875294608
Semiconductors,Environmental,DE0007461006,0.0,0.0,0.0,2.0593285559999996,0.0,0.21511853701000003,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041778837204,0.0,0.0,3.469519993816
Semiconductors,Social,DE0007461006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5700000000000001,1.01184120176,0.0,1.08,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.1225523605280001,0.0,3.469519993816
Semiconductors,Governance,DE0007461006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05230046276,1.0404675292799999,0.6782084656799999,1.5796528625600001,0.0,0.0,1.3051887960839998,3.469519993816
Semiconductors,Environmental,US74736K1016,0.0,0.0,0.0,1.4561259269999998,0.0,0.35314373497,0.0,0.24,0.45735991003999993,2.0054059982999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8048142281239998,0.0,0.0,5.2202045222399995
Semiconductors,Social,US74736K1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5700000000000001,0.0,0.0,1.08,0.0,1.84061959276,0.0,0.0,0.0,0.0,0.0,0.0,1.137185877828,0.0,5.2202045222399995
Semiconductors,Governance,US74736K1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5387795828799997,2.0714105988,1.4815445709600001,1.50227996832,0.0,0.0,2.278204416288,5.2202045222399995
