Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,ENVIRONMENTAL SCORE,Mean Environmental,Air Quality Classification,Climate Exposure Classification,Ecological Impact Classification,Energy Management Classification,Environmental Supply Chain Management Classification,GHG Emissions Management Classification,Sustainable Finance Classification,Sustainable Product Classification,Waste Management Classification,Water Management Classification
Semiconductors,Environmental,US04965B1008,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,KR7017900002,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US0545402085,,,,5.919187069,,4.955134392,,1.5,0.0,6.135060787,4.50044182776,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Below Median,Above Median
Semiconductors,Environmental,JP3108080007,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US00246W1036,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,NL0012866412,,,,7.696035385,,7.161369801,,1.5,7.749931812,8.149010658,6.7769843863500006,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003031001,,,,1.464513183,,0.0,,0.0,7.616351128,2.807603598,2.11943365838,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Above Median,Below Median
Semiconductors,Environmental,US11135F1012,,,,6.475378513,,6.857474804,,0.0,6.972598076,6.221656799,5.46756810648,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,CNE100001XM0,,,,0.0,,0.342395991,,0.0,3.0,3.0,1.27451147883,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Leading,Below Median
Semiconductors,Environmental,DE000A1TNMM9,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
