Industry,type,ISIN,Access & Affordability,Community Rights & Relations,Customer Welfare,Data Security & Customer Privacy,Ethics & Compliance,Labor & Employment Practices,Marketing & Labeling,Occupational Health & Safety Management,Operational Risk Management,Product Quality Management,Social Supply Chain Management,SOCIAL SCORE,Mean Social,Access & Affordability Classification,Community Rights & Relations Classification,Customer Welfare Classification,Data Security & Customer Privacy Classification,Ethics & Compliance Classification,Labor & Employment Practices Classification,Marketing & Labeling Classification,Occupational Health & Safety Management Classification,Operational Risk Management Classification,Product Quality Management Classification,Social Supply Chain Management Classification
Semiconductors,Social,NL0000334118,,10.0,,,7.949489594,6.225013256,,3.0,,0.0,,3.8864051438200002,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0005269005,,10.0,,,10.0,8.255275726,,3.0,,3.0,,5.3808441161600005,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Leading,NaN,Above Median,NaN
Semiconductors,Social,NL0010273215,,10.0,,,7.949489594,8.327130318,,5.17458868,,3.0,,5.78559579854,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,KYG0535Q1331,,0.0,,,3.0,1.579926848,,3.0,,0.0,,1.9027882956800002,3.101456684647021,NaN,Below Median,NaN,NaN,Leading,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0005274005,,10.0,,,10.0,2.251535177,,10.0,,0.0,,6.160245628319999,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Leading,NaN
Semiconductors,Social,US04965B1008,,0.0,,,3.0,0.0,,0.0,,0.0,,0.5700000000000001,3.101456684647021,NaN,Below Median,NaN,NaN,Leading,Leading,NaN,Below Median,NaN,Leading,NaN
Semiconductors,Social,KR7017900002,,10.0,,,3.0,0.0,,7.69034481,,0.0,,3.6385241316,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Leading,NaN,Above Median,NaN,Leading,NaN
Semiconductors,Social,US0545402085,,10.0,,,3.0,4.523581982,,3.0,,0.0,,2.67377311712,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,JP3108080007,,0.0,,,1.097493768,0.0,,3.0,,0.0,,1.28852381592,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,US00246W1036,,0.0,,,1.097493768,0.0,,0.0,,0.0,,0.20852381592000002,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Below Median,NaN,Leading,NaN
Semiconductors,Social,NL0012866412,,10.0,,,9.399690628,5.105708599,,10.0,,3.0,,7.28285459516,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,TW0003031001,,0.0,,,1.097493768,0.0,,3.0,,3.0,,2.06852381592,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Above Median,NaN
Semiconductors,Social,US11135F1012,,10.0,,,3.0,6.102806091,,3.0,,0.0,,2.9264489745600004,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,CNE100001XM0,,0.0,,,0.0,0.0,,3.0,,0.0,,1.08,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,DE000A1TNMM9,,0.0,,,3.0,0.0,,0.0,,0.0,,0.5700000000000001,3.101456684647021,NaN,Below Median,NaN,NaN,Leading,Leading,NaN,Below Median,NaN,Leading,NaN
Semiconductors,Social,US1572101053,,0.0,,,3.0,0.0,,3.0,,0.0,,1.6500000000000001,3.101456684647021,NaN,Below Median,NaN,NaN,Leading,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0003257002,,10.0,,,9.399690628,0.0,,3.0,,3.0,,3.94594121932,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Leading,NaN,Leading,NaN,Above Median,NaN
Semiconductors,Social,TW0008070004,,0.0,,,1.097493768,0.0,,10.0,,3.0,,4.5885238159199995,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,TW0006548001,,10.0,,,7.949489594,1.779009342,,7.69034481,,3.0,,5.64356864918,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,TW0001597003,,0.0,,,1.097493768,0.0,,10.0,,0.0,,3.8085238159199997,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Above Median,NaN,Leading,NaN
Semiconductors,Social,CNE100003S06,,10.0,,,3.0,0.0,,3.0,,0.0,,1.9500000000000002,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0008084005,,0.0,,,0.0,0.0,,10.0,,0.0,,3.5999999999999996,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Above Median,NaN,Leading,NaN
Semiconductors,Social,TW0006147002,,10.0,,,7.949489594,1.483945012,,7.091547489,,3.0,,5.380791320819999,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,TW0008150004,,10.0,,,10.0,2.578246832,,10.0,,3.0,,6.99251949312,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,US1727551004,,10.0,,,7.949489594,4.165293217,,10.0,,3.0,,6.85684993758,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,GB0001602944,,0.0,,,1.097493768,4.605635643,,3.0,,0.0,,2.0254255188,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,US19247G1076,,10.0,,,3.0,2.73140955,,3.0,,0.0,,2.387025528,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,US1925761066,,10.0,,,9.399690628,0.0,,10.0,,0.0,,5.68594121932,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Leading,NaN,Above Median,NaN,Leading,NaN
Semiconductors,Social,KYG234201138,,0.0,,,3.678557396,0.903660536,,3.0,,0.0,,1.923511591,3.101456684647021,NaN,Below Median,NaN,NaN,Above Median,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0002466000,,0.0,,,1.097493768,0.0,,3.0,,0.0,,1.28852381592,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,MYL7204OO000,,0.0,,,10.0,0.182338163,,10.0,,3.0,,6.3091741060799995,3.101456684647021,NaN,Below Median,NaN,NaN,Above Median,Leading,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,JP3487600003,,10.0,,,1.097493768,0.0,,3.0,,0.0,,1.5885238159200001,3.101456684647021,NaN,Leading,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,CNE000000X87,,0.0,,,3.0,4.835414886,,3.0,,0.0,,2.4236663817600004,3.101456684647021,NaN,Below Median,NaN,NaN,Leading,Above Median,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0003094009,,10.0,,,3.678557396,6.723274708,,10.0,,0.0,,5.67464985852,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Leading,NaN
Semiconductors,Social,KR7000990002,,10.0,,,3.0,0.0,,3.0,,0.0,,1.9500000000000002,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,US2545431015,,10.0,,,10.0,0.0,,3.0,,0.0,,3.28,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,JP3548600000,,10.0,,,3.0,0.0,,3.0,,3.0,,2.7300000000000004,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Leading,NaN,Leading,NaN,Above Median,NaN
