Isin,Year,yhat
US3364331070,2045,882.2086819053336
US3364331070,2046,892.1957572740926
US3364331070,2047,900.7189465542899
US3364331070,2048,938.2581498207763
US4581401001,2023,-158.39514756378412
US4581401001,2024,169.78088432303684
US4581401001,2025,-187.77465766245314
US4581401001,2026,-542.3887964602159
US4581401001,2027,-893.8617417297082
US4581401001,2028,-565.6857098438668
US4581401001,2029,-923.2412518307806
US4581401001,2030,-1277.855390626511
US4581401001,2031,-1629.3283358985295
US4581401001,2032,-1301.152304012462
US4581401001,2033,-1658.7078459963614
US4581401001,2034,-2013.3219847965152
US4581401001,2035,-2364.7949300646897
US4581401001,2036,-2036.618898177353
US4581401001,2037,-2394.1744401614906
US4581401001,2038,-2748.7885789616817
US4581401001,2039,-3100.2615242297784
US4581401001,2040,-2772.0854923439106
US4581401001,2041,-3129.6410343304433
US4581401001,2042,-3484.2551731270923
US4581401001,2043,-3835.728118399116
US4581401001,2044,-3507.5520865134513
US4581401001,2045,-3865.107628496585
US4581401001,2046,-4219.721767293937
US4581401001,2047,-4571.194712565276
US4581401001,2048,-4243.018680678704
US4824801009,2023,27.081882943003635
US4824801009,2024,36.230086371216885
US4824801009,2025,32.069504510517326
US4824801009,2026,27.521184563906907
US4824801009,2027,22.590010204252273
US4824801009,2028,31.73821363243156
US4824801009,2029,27.577631771705093
US4824801009,2030,23.029311825124168
US4824801009,2031,18.098137465407838
US4824801009,2032,27.24634089361588
US4824801009,2033,23.085759032947465
US4824801009,2034,18.53743908628185
US4824801009,2035,13.606264726638692
US4824801009,2036,22.75446815487023
US4824801009,2037,18.593886294198178
US4824801009,2038,14.045566347536926
US4824801009,2039,9.114391987912583
US4824801009,2040,18.26259541608939
US4824801009,2041,14.102013555367435
US4824801009,2042,9.553693608775397
US4824801009,2043,4.622519249059238
US4824801009,2044,13.770722677258576
US4824801009,2045,9.610140816595951
US4824801009,2046,5.061820869994747
US4824801009,2047,0.1306465102901342
US4824801009,2048,9.27884993850143
US5128071082,2023,378.2611603122135
US5128071082,2024,415.0243925975695
US5128071082,2025,442.48543528008463
US5128071082,2026,469.66516460413055
US5128071082,2027,496.5673583647247
US5128071082,2028,533.3305906500528
US5128071082,2029,560.7916333325495
