ISIN,Industry,ESG SCORE,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,ESG Score Range,Mean ESG,ESG Classification,E Classification,S Classification,G Classification
MYL7204OO000,Semiconductors,4.319170994916,2.8684061835900003,6.3091741060799995,4.26352096552,4-5,3.7648174326937798,Leading,Leading,Above Median,Below Median
JP3487600003,Semiconductors,2.0625147195439997,0.34470488546,1.5885238159200001,4.82691873528,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
CNE000000X87,Semiconductors,3.57441206874,3.06427568283,2.4236663817600004,5.4053396036,3-4,3.7648174326937798,Leading,Leading,Below Median,Leading
TW0003094009,Semiconductors,4.4071888350199995,2.53695825317,5.67464985852,5.63336858732,4-5,3.7648174326937798,Leading,Leading,Above Median,Above Median
KR7000990002,Semiconductors,2.8529495338800004,1.7460517272299998,1.9500000000000002,5.23176280996,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US2545431015,Semiconductors,4.403003911332,3.06811809393,3.28,7.305855579199999,4-5,3.7648174326937798,Leading,Leading,Leading,Above Median
JP3548600000,Semiconductors,4.5840600300280006,4.99793961541,2.7300000000000004,5.88628061288,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
CNE100001RT7,Semiconductors,3.998344905528,4.5906229950899995,1.28852381592,5.91846187572,3-4,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0003048005,Semiconductors,3.4881385575960002,3.6701901915,1.6500000000000001,5.0835416033200005,3-4,3.7648174326937798,Below Median,Above Median,Below Median,Leading
TW0002458007,Semiconductors,5.055106043812001,6.07575240601,4.2701593970800005,4.47919087428,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
TW0003450003,Semiconductors,3.3474696493759994,1.8776206408999998,3.8414809119599997,4.81325706476,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Leading
TW0003006003,Semiconductors,5.408900524032,4.84634242512,6.46594121932,5.10193729396,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
DE0005677108,Semiconductors,3.110998010576,2.7781385684299997,1.6500000000000001,5.01580861068,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
TW0003529004,Semiconductors,4.717639541516,3.56302503563,6.1854125022,4.78935258868,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0003714002,Semiconductors,4.383204139452,3.3811768125299997,5.7485274116000005,4.3539173032,4-5,3.7648174326937798,Leading,Leading,Above Median,Below Median
US29362U1043,Semiconductors,4.6794035553499995,3.52580254181,4.081096286899999,6.815845508519999,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
KR7039030002,Semiconductors,2.3794523446399998,1.7651455808299998,1.28852381592,4.2894565584399995,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
TW0003016002,Semiconductors,3.82668956124,1.87388645022,5.25,5.00711660384,3-4,3.7648174326937798,Leading,Below Median,Above Median,Leading
TW0005351001,Semiconductors,3.453464670184,2.7977618908,2.7300000000000004,5.051199712880001,3-4,3.7648174326937798,Below Median,Leading,Leading,Leading
KR7084370006,Semiconductors,2.38778689768,1.22453557006,1.9500000000000002,4.37657556552,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
TW0002393006,Semiconductors,4.146481563528,4.10364689583,4.06,4.2900760173200005,4-5,3.7648174326937798,Leading,Above Median,Above Median,Below Median
TW0006288004,Semiconductors,5.044104586648,5.59296945349,3.94594121932,5.41044813152,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0003035002,Semiconductors,6.218135955831999,6.098997034959999,7.0670407104,5.52808309576,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
