Isin,Year,SR001,SR002,SR003,SR004
CNE100002Q09,2018,1.019999981,0,0,4.761042118
CNE100004314,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000001DN1,2018,1.419999957,0.041486021,0.857391536,5.052785873
KR7042700005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006168008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DE000HAG0005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006202005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100002V10,2018,2.049999952,0.987568796,0.857391536,5.6635499
HK0000218211,2018,2.619999886,1.68665421,1.624035358,5.443907261
TW0002486008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008040007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US4532041096,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
MYQ0166OO007,2018,2.140000105,1.562011838,1.286757827,4.108869076
CH0011029946,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DE0006231004,2018,4.269999981,3.991281033,2.862524033,6.324316978
CNE100001377,2018,0.99000001,0,0,4.615263462
US45817G2012,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3152720003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US4611471008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US44980X1090,2018,3.200000048,3.614445448,0.580114126,6.35543251
GB0009619924,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003014007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3735300000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3389680004,2018,0.959999979,0,0.857391536,2.899833202
CNE000001F05,2018,1.429999948,0.278589994,0.857391536,4.429097176
CNE000000N97,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0005285001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE0000017L3,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006552003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002375003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3281610000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002449006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US5012421013,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3979200007,2018,2.529999971,2.343957424,1.029799819,4.76829052
TW0003346003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US5184151042,2018,1.929999948,0,1.427484035,6.944840908
TW0003588000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7058470006,2018,0.800000012,0,0,3.596206665
TW0002472008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002369006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0004979000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US55405Y1001,2018,1.649999976,0,1.103526831,6.005404472
TW0002337003,2018,3.849999905,2.900788069,4.334035873,4.732642174
US55933J2033,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
MYL3867OO008,2018,2.029999971,2.07743001,1.059770465,3.12434864
US5738741041,2018,2.079999924,0,1.624035358,7.364444733
US57776J1007,2018,1.409999967,0,0.428448021,5.996983528
CNE100003QK4,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003527008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002454006,2018,3.920000076,5.00638485,2.315603971,4.307738304
JP3920860008,2018,1.480000019,1.398843765,0.127523139,3.492026329
BE0165385973,2018,3.529999971,3.198270798,3.10537219,4.450998783
JP3750400008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3910570005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002464005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US55306N1046,2018,1.480000019,0,0.320985734,6.634845257
CNE100001X19,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100003MN7,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002434008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DE0006627201,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SE0000375115,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US63010N1054,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002408002,2018,5.130000114,4.248131752,7.452804565,4.263180733
CNE1000040F5,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100000ML7,2018,2.539999962,1.870578527,1.427484035,5.017597675
US64118P1093,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
