ISIN,BI350,BI493,EG056,EG057,ES018,ES019,ES096,F1754,F1769,RX262,ES643,IS010,EG017,EG018,EG030,SR001,SR002,SR003,SR004,SR205,SR217,SR238,SR200,SR211,SR711,SR731,SR727,SR718,SR715,SR005,SR035,SR064,SR084,BI588,BI589,BI590,SR208,SR235,SR231,SR249,ST024,SR752,SR754,SR756,SR760,SR724,SR721,Year
CNE100002Q09,0,#N/A N/A,141.656,10.081,#N/A N/A,#N/A N/A,22.22220039,10,#N/A N/A,#N/A N/A,#N/A N/A,1775.05486,6.467,25.716,0.683,1.379999995,0,0.857391536,4.990282536,0,0,0,0,0,3,0,0,0,0,4.50677681,3.008222103,7.086885929,6.628994465,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
CNE100004314,0,100,953.564,100.454,0.060509998,0.889069974,0,60,#N/A N/A,4580.3763,#N/A N/A,2689.669885,3.072,315.73,16.423,3.130000114,2.094017982,2.710803509,5.251318455,0.884426892,3.074659348,1.5,1.953354239,4.811779499,3,0,9.399690628,2.328295946,0,4.967879772,2.408685923,7.086885929,8.890613556,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
CNE000001DN1,0,#N/A N/A,259.281,54.174,0.290650994,#N/A N/A,0,60,#N/A N/A,#N/A N/A,#N/A N/A,9339.537963,89.75,200.007,26.751,2.049999952,0.241400227,2.528281927,5.019178867,0,0,1.5,0.342395991,0,3,3,3,0,10,3.903152704,3.225749731,7.086885929,8.114209175,8.2871,-29.0186,-20.7315,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
KR7042700005,0,#N/A N/A,202.269,5.42,#N/A N/A,#N/A N/A,0,10,38.54000092,#N/A N/A,#N/A N/A,159008.528,2.767,19.836,0.176,1.669999957,0.74273932,0.857391536,4.412678719,0,3,0,0.342395991,0,3,0,0,0,0,4.955373764,1.86258626,6.819554329,4.450716496,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0006168008,0,#N/A N/A,173.834,62.731,#N/A N/A,#N/A N/A,0,40,#N/A N/A,#N/A N/A,#N/A N/A,2033.098,0.072,6.583,3.84,4.309999943,4.327541351,3.821092844,4.803058147,3.429107904,5.506740093,1.5,5.660439491,7.67113018,3,3,3.678557396,6.95871973,10,2.370967388,4.327161312,7.377765179,8.615644455,8.8235,-44.1176,-35.2941,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
DE000HAG0005,0,100,53.822,26.924,#N/A N/A,0.194999993,41.66669846,70,#N/A N/A,40.70568653,#N/A N/A,1847,3.208,7.259,88.941,4.5,5.241318703,2.499056578,5.828001976,8.207443237,5.900545597,1.5,2.38870883,6.864512444,3,0,3,7.961013794,0,7.299106121,3.917199135,5.314490795,6.899708271,6.3664,-44.1176,-37.7512,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0006202005,0,#N/A N/A,16.635,2.664,#N/A N/A,0.00015,12.5,70,#N/A N/A,#N/A N/A,#N/A N/A,2596.067,0.037,1.196,0.049,3.99000001,4.815745354,2.528281927,4.536590576,4.417240143,7.202059746,1.5,2.65676856,9.311964035,3,3,3,0,10,2.262022734,4.214550972,7.377765179,7.068948746,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
CNE100002V10,0,100,382.828,111.164,0.0062323,#N/A N/A,55.55559921,20,#N/A N/A,1570.613392,#N/A N/A,26583.56297,287.787,1024.866,17.509,2.190000057,1.191071033,0.857391536,5.828843594,0.360722661,3,0,0.342395991,3,3,0,0,0,0,7.064050674,2.462151051,7.086885929,7.699706554,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
HK0000218211,0,100,309.222,90.378,#N/A N/A,20.79700089,0,60,#N/A N/A,499.1397913,#N/A N/A,2286.113,22.881,514.189,116.653,3.069999933,2.54432106,1.624035358,5.734802246,2.653185129,3.292587519,1.5,1.892012596,2.782707214,3,0,3,0,10,5.680839539,4.034340858,6.998867035,6.920675278,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0002486008,0,#N/A N/A,161.418,65.123,#N/A N/A,#N/A N/A,0,30,#N/A N/A,#N/A N/A,#N/A N/A,5068.696,2.804,21.028,0.462,1.929999948,0.688950539,1.913275957,4.118969917,0,3,0,0,0,7.69034481,0,0,0,0,1.745818615,4.474014282,7.377765179,5.2239604,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
